N,Value,RectType
8100,0.931378,Широкий
8600,0.923636,Широкий
9100,0.911397,Широкий
9600,0.972426,Широкий
10100,0.910793,Широкий
10600,0.93487,Широкий
11100,0.919068,Широкий
11600,0.928125,Широкий
12100,0.965395,Широкий
12600,0.951808,Широкий
13100,0.952634,Широкий
13600,0.970577,Широкий
14100,0.911996,Широкий
14600,0.949437,Широкий
15100,0.9541,Широкий
15600,0.947232,Широкий
16100,0.931117,Широкий
16600,0.948811,Широкий
17100,0.932453,Широкий
17600,0.969568,Широкий
18100,0.963222,Широкий
18600,0.942562,Широкий
19100,0.928081,Широкий
19600,0.942151,Широкий
20100,0.905154,Широкий
20600,0.946978,Широкий
21100,0.930996,Широкий
21600,0.967581,Широкий
22100,0.981368,Широкий
22600,0.941566,Широкий
23100,0.948577,Широкий
23600,0.918168,Широкий
24100,0.938703,Широкий
24600,0.946136,Широкий
25100,0.962969,Широкий
25600,0.925909,Широкий
26100,0.942857,Широкий
26600,0.935747,Широкий
27100,0.931054,Широкий
27600,0.964975,Широкий
28100,0.940184,Широкий
28600,0.962548,Широкий
29100,0.940323,Широкий
29600,0.902405,Широкий
30100,0.94207,Широкий
30600,0.970895,Широкий
31100,0.959042,Широкий
31600,0.952185,Широкий
32100,0.966465,Широкий
32600,0.959406,Широкий
33100,0.939031,Широкий
33600,0.952291,Широкий
34100,0.937757,Широкий
34600,0.968376,Широкий
35100,0.952085,Широкий
35600,0.951838,Широкий
36100,0.943239,Широкий
36600,0.936471,Широкий
37100,0.940117,Широкий
37600,0.952987,Широкий
38100,0.966797,Широкий
38600,0.952256,Широкий
39100,0.920909,Широкий
39600,0.90289,Широкий
40100,0.964215,Широкий
40600,0.942031,Широкий
41100,0.927729,Широкий
41600,0.95823,Широкий
42100,0.923728,Широкий
42600,0.939849,Широкий
43100,0.937981,Широкий
43600,0.918293,Широкий
44100,0.927527,Широкий
44600,0.911454,Широкий
45100,0.945812,Широкий
45600,0.911319,Широкий
46100,0.959081,Широкий
46600,0.941062,Широкий
47100,0.946779,Широкий
47600,0.972622,Широкий
48100,0.957857,Широкий
48600,0.944798,Широкий
49100,0.938547,Широкий
49600,0.954403,Широкий
50100,0.940409,Широкий
50600,0.939196,Широкий
51100,0.954962,Широкий
51600,0.922504,Широкий
52100,0.95214,Широкий
52600,0.942904,Широкий
53100,0.947775,Широкий
53600,0.947106,Широкий
54100,0.943571,Широкий
54600,0.94117,Широкий
55100,0.95436,Широкий
55600,0.937024,Широкий
56100,0.938216,Широкий
56600,0.953146,Широкий
57100,0.951278,Широкий
57600,0.949611,Широкий
58100,0.93658,Широкий
58600,0.924934,Широкий
59100,0.935886,Широкий
59600,0.949267,Широкий
60100,0.93894,Широкий
60600,0.955931,Широкий
61100,0.933292,Широкий
61600,0.943099,Широкий
62100,0.912933,Широкий
62600,0.945294,Широкий
63100,0.935644,Широкий
63600,0.940074,Широкий
64100,0.963569,Широкий
64600,0.948577,Широкий
65100,0.956842,Широкий
65600,0.95964,Широкий
66100,0.94001,Широкий
66600,0.922576,Широкий
67100,0.932674,Широкий
67600,0.931248,Широкий
68100,0.947139,Широкий
68600,0.955135,Широкий
69100,0.931319,Широкий
69600,0.952461,Широкий
70100,0.943862,Широкий
70600,0.966408,Широкий
71100,0.933736,Широкий
71600,0.942714,Широкий
72100,0.940497,Широкий
72600,0.946355,Широкий
73100,0.939882,Широкий
73600,0.950559,Широкий
74100,0.932847,Широкий
74600,0.947342,Широкий
75100,0.952312,Широкий
75600,0.940734,Широкий
76100,0.964614,Широкий
76600,0.944211,Широкий
77100,0.93228,Широкий
77600,0.939821,Широкий
78100,0.963718,Широкий
78600,0.942107,Широкий
79100,0.946243,Широкий
79600,0.937119,Широкий
80100,0.949985,Широкий
80600,0.92815,Широкий
81100,0.941272,Широкий
81600,0.931806,Широкий
82100,0.950201,Широкий
82600,0.94987,Широкий
83100,0.977071,Широкий
83600,0.945844,Широкий
84100,0.933391,Широкий
84600,0.952613,Широкий
85100,0.93798,Широкий
85600,0.947398,Широкий
86100,0.959534,Широкий
86600,0.955343,Широкий
87100,0.949635,Широкий
87600,0.951104,Широкий
88100,0.943717,Широкий
88600,0.938392,Широкий
89100,0.951699,Широкий
89600,0.941064,Широкий
90100,0.934005,Широкий
90600,0.951521,Широкий
91100,0.935721,Широкий
91600,0.951761,Широкий
92100,0.95748,Широкий
92600,0.951995,Широкий
93100,0.939145,Широкий
93600,0.942032,Широкий
94100,0.938889,Широкий
94600,0.949053,Широкий
95100,0.944165,Широкий
95600,0.9433,Широкий
96100,0.92573,Широкий
96600,0.94331,Широкий
97100,0.933039,Широкий
97600,0.956086,Широкий
98100,0.95032,Широкий
98600,0.947969,Широкий
99100,0.944561,Широкий
