N,Error,RectType
99100,0.00145185,Узкий
100,0.0724404,Широкий
600,0.0209093,Широкий
1100,0.0349632,Широкий
1600,0.0241804,Широкий
2100,0.0135477,Широкий
2600,0.01873,Широкий
3100,0.0173235,Широкий
3600,0.0220333,Широкий
4100,0.0683275,Широкий
4600,0.056757,Широкий
5100,0.0118156,Широкий
5600,0.00434573,Широкий
6100,0.0335809,Широкий
6600,0.0271555,Широкий
7100,0.011474,Широкий
7600,0.0618117,Широкий
8100,0.0139112,Широкий
8600,0.0221077,Широкий
9100,0.0350662,Широкий
9600,0.0295482,Широкий
10100,0.0357053,Широкий
10600,0.0102142,Широкий
11100,0.0269445,Широкий
11600,0.0173554,Широкий
12100,0.0221043,Широкий
12600,0.00771909,Широкий
13100,0.00859324,Широкий
13600,0.0275906,Широкий
14100,0.0344316,Широкий
14600,0.00520921,Широкий
15100,0.0101459,Широкий
15600,0.00287429,Широкий
16100,0.0141878,Широкий
16600,0.00454582,Широкий
17100,0.0127728,Широкий
17600,0.0265227,Широкий
18100,0.0198031,Широкий
18600,0.00206997,Широкий
19100,0.0174019,Широкий
19600,0.00250533,Широкий
20100,0.0416756,Широкий
20600,0.00260489,Широкий
21100,0.0143153,Широкий
21600,0.024419,Широкий
22100,0.039016,Широкий
22600,0.00312423,Широкий
23100,0.00429856,Широкий
23600,0.0278966,Широкий
24100,0.00615558,Широкий
24600,0.00171411,Широкий
25100,0.0195354,Широкий
25600,0.0197015,Широкий
26100,0.00175789,Широкий
26600,0.00928574,Широкий
27100,0.014254,Широкий
27600,0.0216599,Широкий
28100,0.00458806,Широкий
28600,0.0190904,Широкий
29100,0.00444059,Широкий
29600,0.0445857,Широкий
30100,0.00259093,Широкий
30600,0.0279274,Широкий
31100,0.0153779,Широкий
31600,0.00811771,Широкий
32100,0.0232373,Широкий
32600,0.0157631,Широкий
33100,0.00580804,Широкий
33600,0.00823031,Широкий
34100,0.00715759,Широкий
34600,0.0252602,Широкий
35100,0.00801272,Широкий
35600,0.00775126,Широкий
36100,0.00135317,Широкий
36600,0.0085193,Широкий
37100,0.00465825,Широкий
37600,0.00896778,Широкий
38100,0.0235887,Широкий
38600,0.00819376,Широкий
39100,0.0249949,Широкий
39600,0.0440723,Широкий
40100,0.0208553,Широкий
40600,0.00263226,Широкий
41100,0.0177748,Широкий
41600,0.0145183,Широкий
42100,0.0220109,Широкий
42600,0.00494191,Широкий
43100,0.00692057,Широкий
43600,0.0277643,Широкий
44100,0.017988,Широкий
44600,0.0350052,Широкий
45100,0.00137133,Широкий
45600,0.0351481,Широкий
46100,0.0154196,Широкий
46600,0.00365854,Широкий
47100,0.00239458,Широкий
47600,0.0297557,Широкий
48100,0.0141233,Широкий
48600,0.000296918,Широкий
49100,0.00632106,Широкий
49600,0.0104665,Широкий
50100,0.0043494,Широкий
50600,0.00563328,Широкий
51100,0.0110581,Широкий
51600,0.0233061,Широкий
52100,0.00807076,Широкий
52600,0.00170759,Широкий
53100,0.00344909,Широкий
53600,0.00274117,Широкий
54100,0.00100172,Широкий
54600,0.0035435,Широкий
55100,0.0104209,Широкий
55600,0.00793384,Широкий
56100,0.00667165,Широкий
56600,0.00913534,Широкий
57100,0.00715755,Широкий
57600,0.00539303,Широкий
58100,0.00840347,Широкий
58600,0.0207334,Широкий
59100,0.00913823,Широкий
59600,0.00502918,Широкий
60100,0.0059044,Широкий
60600,0.0120842,Широкий
61100,0.011885,Широкий
61600,0.00150148,Широкий
62100,0.0334394,Широкий
62600,0.000822669,Широкий
63100,0.00939442,Широкий
63600,0.00470455,Широкий
64100,0.0201709,Широкий
64600,0.00429787,Широкий
65100,0.013049,Широкий
65600,0.0160108,Широкий
66100,0.00477172,Широкий
66600,0.0232305,Широкий
67100,0.0125384,Широкий
67600,0.0140486,Широкий
68100,0.00277533,Широкий
68600,0.0112413,Широкий
69100,0.0139738,Широкий
69600,0.00841012,Широкий
70100,0.000693815,Широкий
70600,0.0231768,Широкий
71100,0.0114148,Широкий
71600,0.001909,Широкий
72100,0.00425639,Широкий
72600,0.00194609,Широкий
73100,0.00490716,Широкий
73600,0.00639658,Широкий
74100,0.0123555,Широкий
74600,0.00299119,Широкий
75100,0.00825278,Широкий
75600,0.00400491,Широкий
76100,0.0212771,Широкий
76600,0.000323766,Широкий
77100,0.0129557,Широкий
77600,0.00497184,Широкий
78100,0.0203288,Широкий
78600,0.00255216,Широкий
79100,0.00182693,Широкий
79600,0.00783231,Широкий
80100,0.00578909,Широкий
80600,0.017329,Широкий
81100,0.00343574,Широкий
81600,0.0134575,Широкий
82100,0.00601743,Широкий
82600,0.00566727,Широкий
83100,0.0344665,Широкий
83600,0.00140441,Широкий
84100,0.0117795,Широкий
84600,0.00857185,Широкий
85100,0.00692142,Широкий
85600,0.00305026,Широкий
86100,0.0158986,Широкий
86600,0.0114613,Широкий
87100,0.0054183,Широкий
87600,0.00697397,Широкий
88100,0.000846677,Широкий
88600,0.00648524,Широкий
89100,0.00760342,Широкий
89600,0.00365558,Широкий
90100,0.0111293,Широкий
90600,0.00741574,Широкий
91100,0.00931338,Широкий
91600,0.00766909,Широкий
92100,0.0137245,Широкий
92600,0.00791695,Широкий
93100,0.00568797,Широкий
93600,0.00263117,Широкий
94100,0.00595925,Широкий
94600,0.00480178,Широкий
95100,0.000372717,Широкий
95600,0.00128867,Широкий
96100,0.0198905,Широкий
96600,0.0012784,Широкий
97100,0.0121527,Широкий
97600,0.012248,Широкий
98100,0.00614322,Широкий
98600,0.00365421,Широкий
99100,4.63376e-05,Широкий
